,genre,country,count
392,Documentaries,Chile,0
393,Documentaries,China,5
394,Documentaries,Colombia,2
395,Documentaries,Croatia,0
396,Documentaries,Cyprus,0
397,Documentaries,Czech Republic,1
398,Documentaries,Denmark,9
399,Documentaries,Egypt,1
400,Documentaries,Finland,3
401,Documentaries,France,25
402,Documentaries,Georgia,1
403,Documentaries,Germany,18
404,Documentaries,Ghana,0
405,Documentaries,Hong Kong,1
406,Documentaries,Iceland,0
407,Documentaries,India,25
408,Documentaries,Indonesia,1
409,Documentaries,Iran,0
410,Documentaries,Ireland,6
411,Documentaries,Israel,6
412,Documentaries,Italy,17
413,Documentaries,Japan,6
414,Documentaries,Lebanon,0
415,Documentaries,Malaysia,0
416,Documentaries,Mauritius,0
417,Documentaries,Mexico,12
418,Documentaries,Netherlands,10
419,Documentaries,New Zealand,5
420,Documentaries,Norway,3
421,Documentaries,Pakistan,0
422,Documentaries,Paraguay,0
423,Documentaries,Peru,3
424,Documentaries,Philippines,1
425,Documentaries,Poland,1
426,Documentaries,Portugal,0
427,Documentaries,Romania,0
428,Documentaries,Russia,2
429,Documentaries,Saudi Arabia,0
430,Documentaries,Serbia,1
431,Documentaries,Singapore,0
432,Documentaries,Slovenia,0
433,Documentaries,Somalia,0
434,Documentaries,South Africa,6
435,Documentaries,South Korea,2
436,Documentaries,Soviet Union,0
437,Documentaries,Spain,16
438,Documentaries,Sweden,10
439,Documentaries,Switzerland,3
440,Documentaries,Taiwan,1
441,Documentaries,Thailand,3
442,Documentaries,Turkey,0
443,Documentaries,United Arab Emirates,4
444,Documentaries,United Kingdom,106
445,Documentaries,United States,401
446,Documentaries,Uruguay,5
447,Documentaries,Venezuela,3
448,Docuseries,Argentina,1
449,Docuseries,Australia,9
450,Docuseries,Austria,0
451,Docuseries,Belgium,0
452,Docuseries,Brazil,2
453,Docuseries,Bulgaria,0
454,Docuseries,Cambodia,0
455,Docuseries,Canada,10
456,Docuseries,Chile,0
457,Docuseries,China,1
458,Docuseries,Colombia,1
459,Docuseries,Croatia,0
460,Docuseries,Cyprus,0
461,Docuseries,Czech Republic,4
462,Docuseries,Denmark,0
463,Docuseries,Egypt,0
464,Docuseries,Finland,0
465,Docuseries,France,6
466,Docuseries,Georgia,0
467,Docuseries,Germany,5
468,Docuseries,Ghana,0
469,Docuseries,Hong Kong,0
470,Docuseries,Iceland,0
471,Docuseries,India,5
472,Docuseries,Indonesia,0
473,Docuseries,Iran,0
474,Docuseries,Ireland,0
475,Docuseries,Israel,3
476,Docuseries,Italy,2
477,Docuseries,Japan,0
478,Docuseries,Lebanon,0
479,Docuseries,Malaysia,0
480,Docuseries,Mauritius,0
481,Docuseries,Mexico,3
482,Docuseries,Netherlands,0
483,Docuseries,New Zealand,1
484,Docuseries,Norway,1
485,Docuseries,Pakistan,0
486,Docuseries,Paraguay,0
487,Docuseries,Peru,0
488,Docuseries,Philippines,0
489,Docuseries,Poland,1
490,Docuseries,Portugal,0
491,Docuseries,Romania,0
492,Docuseries,Russia,1
493,Docuseries,Saudi Arabia,0
494,Docuseries,Serbia,0
495,Docuseries,Singapore,0
496,Docuseries,Slovenia,0
497,Docuseries,Somalia,0
498,Docuseries,South Africa,1
499,Docuseries,South Korea,0
500,Docuseries,Soviet Union,0
501,Docuseries,Spain,6
502,Docuseries,Sweden,0
503,Docuseries,Switzerland,0
504,Docuseries,Taiwan,0
505,Docuseries,Thailand,1
506,Docuseries,Turkey,0
507,Docuseries,United Arab Emirates,0
508,Docuseries,United Kingdom,83
509,Docuseries,United States,135
510,Docuseries,Uruguay,0
511,Docuseries,Venezuela,0
512,Dramas,Argentina,27
513,Dramas,Australia,29
514,Dramas,Austria,5
515,Dramas,Belgium,33
516,Dramas,Brazil,22
517,Dramas,Bulgaria,1
518,Dramas,Cambodia,1
519,Dramas,Canada,56
520,Dramas,Chile,9
521,Dramas,China,26
522,Dramas,Colombia,4
523,Dramas,Croatia,2
524,Dramas,Cyprus,0
525,Dramas,Czech Republic,4
526,Dramas,Denmark,14
527,Dramas,Egypt,18
528,Dramas,Finland,2
529,Dramas,France,114
530,Dramas,Georgia,1
531,Dramas,Germany,58
532,Dramas,Ghana,2
533,Dramas,Hong Kong,27
534,Dramas,Iceland,3
535,Dramas,India,539
536,Dramas,Indonesia,33
537,Dramas,Iran,3
538,Dramas,Ireland,9
539,Dramas,Israel,8
540,Dramas,Italy,22
541,Dramas,Japan,10
542,Dramas,Lebanon,2
